,text,created_at,brand,sent,pos,neg,neu,compound
32,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:48 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
33,RT @harleyhs: How Conservatives Weaponized the First Amendment via @NYTimes Robert's Court has water boarded the First Amendment to arrive…,Sun Jul 01 22:02:47 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
34,RT @sh1359312: @nytimes @margalitfox Loved this story!,Sun Jul 01 22:02:46 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.636}",0.411,0.0,0.589,0.636
35,"RT @nytimes: A grateful nation honors a great woman: The remains of Simone Veil, Holocaust survivor and women's rights champion, were burie…",Sun Jul 01 22:02:45 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9501}",0.528,0.0,0.472,0.9501
36,@RepLowenthal @nytimes Another city with a homeless problem,Sun Jul 01 22:02:45 +0000 2018,@NYtimes,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}",0.0,0.31,0.69,-0.4019
37,RT @doctorbs: @nytimes @margalitfox I love this so much! Godspeed in your new venture. So so so glad you have decided to pursue your writin…,Sun Jul 01 22:02:42 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.876}",0.291,0.0,0.709,0.876
38,RT @nytimes: The United States Senate’s 3 black members introduced a bill that would make lynching a federal hate crime. https://t.co/7RWbn…,Sun Jul 01 22:02:40 +0000 2018,@NYtimes,"{'neg': 0.288, 'neu': 0.6, 'pos': 0.112, 'compound': -0.6597}",0.112,0.288,0.6,-0.6597
39,RT @tafkak: @EricBoehlert @nastiestwoman .@nytimes @washingtonpost well over a million people take to the streets in the USA and countries…,Sun Jul 01 22:02:39 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2732}",0.104,0.0,0.896,0.2732
40,Pegging the irony meter: the @NYTimes reports on @facebook being creepy https://t.co/6rwp7uT0VX while also shoving… https://t.co/Plkih5n2hl,Sun Jul 01 22:02:39 +0000 2018,@NYtimes,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.0516}",0.0,0.074,0.926,-0.0516
41,RT @heliosiamallfa1: @PradRachael @joyreaper @POTUS @realDonaldTrump @RepMattGaetz @RepGoodlatte @MariaBartiromo @RepMarkMeadows @Jim_Jorda…,Sun Jul 01 22:02:38 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
